"","hhid","pnum","pumsSerialNo","persType","persTypeDetailed","age","gender","industry","schlGrade","educLevel","workPlaceType","workPlaceTaz","workPlaceMaz","schoolType","schoolTaz","schoolMaz","usualCarId","dailyActivityPattern","specEvtParticipant","jointTour1Role","jointTour2role","obPeChauffBund1","obPeChauffBund2","obPeChauffBund3","obRsChauffBund","obPePassBund","obRsPassBund","ibPeChauffBund1","ibPeChauffBund2","ibPeChauffBund3","ibRsChauffBund","ibPePassBund","ibRsPassBund","studentDorm","studentRent","activityString"
"10596",6654,1,2007001071616,1,1,35,1,55,0,13,2,409,20408,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"10597",6654,2,2007001071616,4,13,33,2,0,0,14,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-8-0]"
"15265",9452,1,2008001282048,1,1,54,1,48,0,9,2,183,20182,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-15-0]"
"15266",9452,2,2008001282048,4,13,44,2,0,0,12,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-0-8-72-73-0]"
"17130",10421,1,2011000733696,1,3,21,2,71,6,11,2,2089,22088,2,126,20125,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-42-0]"
"17131",10421,2,2011000733696,3,11,21,2,71,6,11,2,1972,21971,2,1836,21835,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0-2-0]"
"21824",13095,1,2007000940544,3,9,19,1,0,6,9,0,0,0,2,226,20225,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-2-72-0-9-62-73-0]"
"21825",13095,2,2007000940544,3,12,19,1,61,6,10,2,230,20229,2,149,20148,-1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"22121",13257,1,2008000757760,3,10,20,1,81,6,11,2,582,20581,2,1836,21835,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0-2-0]"
"25639",15270,1,2007001202688,4,13,42,2,0,0,9,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-0]"
"25640",15270,2,2007001202688,8,21,3,1,0,1,1,0,0,0,2,147,20146,-1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-0]"
"25939",15474,1,2009000443904,4,13,62,2,0,0,9,0,0,0,0,0,0,-1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"25940",15474,2,2009000443904,4,13,62,2,0,0,9,0,0,0,0,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-5-8-62-0]"
"29314",17525,1,2011000733696,1,3,21,2,71,6,11,2,154,20153,2,360,20359,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-42-0]"
"29315",17525,2,2011000733696,3,10,21,2,71,6,11,2,597,20596,2,1170,21169,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0-2-0]"
"34540",20741,1,2010000392192,3,9,18,2,0,6,11,0,0,0,2,150,20149,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[0-5-2-0-2-0-9-0]"
"36275",21774,1,2008001150976,2,4,41,2,62,0,13,2,382,20381,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-42-0-8-9-0-9-6-0-61-42-42-0-42-0]"
"36276",21774,2,2008001150976,1,1,40,1,31,0,13,2,246,20245,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-8-9-0-9-6-0]"
"36277",21774,3,2008001150976,7,19,11,1,0,4,3,0,0,0,1,156,20155,-1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0-73-0-8-9-0-9-6-0]"
"36278",21774,4,2008001150976,7,19,9,2,0,3,2,0,0,0,1,227,20226,-1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-8-72-0-8-9-0-9-0]"
"36638",21950,1,2009000837120,5,15,84,1,0,0,13,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-0]"
"36639",21950,2,2009000837120,5,15,82,2,0,0,13,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-62-61-9-71-5-61-5-0]"
"36736",22019,1,2009999998976,1,1,25,2,44,0,13,2,224,20223,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-15-0-15-15-0]"
"40248",25849,1,2009000312832,3,8,18,2,0,6,10,0,0,0,2,216,20215,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[0-5-2-0-61-5-0]"
"40326",25944,1,2009000312832,3,10,18,2,61,6,10,2,216,20215,2,216,20215,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[0-2-0-5-0]"
"42936",29390,1,2011000209408,3,11,20,2,61,6,11,2,216,20215,2,216,20215,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[0-2-9-62-72-73-5-0]"
"46904",32904,1,2011001126912,3,8,25,1,0,7,13,0,0,0,2,1836,21835,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-2-0]"
"46905",32904,2,2011001126912,1,1,25,2,54,0,12,2,31,20030,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-61-72-1-0]"
"50133",34457,1,2007000416256,3,12,20,2,72,6,11,2,65,20064,2,149,20148,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-2-0]"
"50134",34457,2,2007000416256,3,10,20,2,45,6,11,2,329,20328,2,1836,21835,-1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0]"
"50135",34457,3,2007000416256,1,3,21,2,44,6,11,2,45,20044,2,149,20148,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-73-0-8-0]"
"63496",42861,1,2009000181760,1,1,39,2,62,0,11,1,301,20300,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-411-72-9-8-73-0]"
"63497",42861,2,2009000181760,1,1,57,1,56,0,11,2,428,20427,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"[0-412-1-72-1-0]"
"63498",42861,3,2009000181760,7,19,14,1,0,5,5,0,0,0,2,301,20300,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"63499",42861,4,2009000181760,7,19,12,1,0,0,4,0,0,0,1,136,20135,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[0-3-0]"
"63500",42861,5,2009000181760,7,19,8,1,0,3,2,0,0,0,1,440,20439,-1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"[0-3-0]"
"63627",42908,1,2009000706048,1,1,36,2,62,0,9,2,309,20308,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-42-72-0-9-0]"
"63628",42908,2,2009000706048,6,16,19,2,72,5,7,2,272,20271,1,1367,21366,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
