"","uniqueid","jointTripNum","hhid","pnum","userClass","tourNum","tourSubTourNum","personTripNum","tourTripNum","mainTourTripNum","subTourTripNum","jointTourNum","jointTripRole","direction","obBundleNum","ibBundleNum","escortingRole","jointSpecEvtTour","party","origTaz","origMaz","destTaz","destMaz","origPurp","destPurp","mode","prelimDepartInterval","finalDepartMinute","tripDistance","prelimArriveInterval","finalArriveMinute","activityMinutesAtDest","pnrParkTaz","pnrParkMaz","vot","travelTime","hb","tripPurpose"
"5071799",4,0,561571,1,2,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",1383,21382,1363,21362,42,42,4,66,979.4228,4.43,67,987.1128,6.169983,0,0,9.72072620761405,7.68999999999994,0,"NHB"
"8037719",12,0,880806,2,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",2469,22468,2928,22927,0,61,4,58,861.0685,5.15,58,870.0685,67.5,0,0,3.0410726175479,9,1,"HBNW"
"238362",28,9,39125,5,3,2,0,6,4,4,0,1,1,1,0,0,0,0,"[ 5,8,11 ]",9,20008,2,20001,5,5,14,55,821.8835,0.44,55,830.6835,69.52002,0,0,10.741863747093,8.79999999999995,0,"NHB"
"5507354",10,0,602358,2,3,2,0,7,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",1430,21429,1426,21425,5,61,1,57,856.4851,3.29,58,862.3051,5.76001,0,0,27.9029560855594,5.82000000000005,0,"NHB"
"6969666",7,0,755879,1,2,2,0,7,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",2138,22137,1913,21912,5,8,1,59,885.19415,7.3,60,901.25415,3.540039,0,0,34.0273927821347,16.0599999999999,0,"NHB"
"3549476",10,0,402588,3,1,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 3 ]",930,20929,1078,21077,61,1,1,25,365.43805,4.94,26,377.17804,80.29001,0,0,5.68927879515472,11.73999,0,"NHB"
"8252085",9,0,905763,2,3,2,0,9,7,7,0,0,0,2,0,0,0,0,"[ 2 ]",2487,22486,2707,22706,62,0,4,56,844.78674,5.97,57,855.2067,581.53,0,0,11.1709680083615,10.4199599999999,1,"HBNW"
"6124620",6,0,663878,2,1,2,0,6,4,4,0,0,0,2,0,0,0,0,"[ 2 ]",1650,21649,1614,21613,15,15,1,79,1183.6172,9.02,80,1200.3872,-1.2199707,0,0,9.45501846680925,16.77,0,"NHB"
"392849",3,0,61377,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",104,20103,431,20430,61,5,1,52,775.33923,6.71,53,787.21924,6.539978,0,0,41.4306161914272,11.88001,0,"NHB"
"2028496",4,0,245921,1,1,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",667,20666,667,20666,15,0,1,69,1020.0934,0.45,69,1021.27344,401.31995,0,0,4.9201828431075,1.18004000000008,1,"HBW"
"4302477",15,0,479857,4,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 4 ]",1470,21469,965,20964,72,0,2,74,1098.4122,15.12,76,1117.0122,306.65002,0,0,15.0659737910887,18.5999999999999,1,"HBNW"
"5285637",3,0,581466,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",1432,21431,1412,21411,0,3,1,17,247.20212,4.4,18,255.43211,456.77002,0,0,2.11421817682906,8.22998999999999,1,"HBNW"
"3514214",4,0,398756,5,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 5 ]",919,20918,1078,21077,0,71,2,17,240.3906,3.41,17,248.9406,114.609985,0,0,7.32977507146505,8.54999999999998,1,"HBNW"
"6756898",6,0,733063,1,3,1,0,6,6,6,0,0,0,2,0,0,0,0,"[ 1 ]",1838,21837,1896,21895,61,0,1,48,711.69495,12.17,49,730.7949,705.25006,0,0,2.98068378215636,19.09995,1,"HBNW"
"459209",18,1,70441,6,3,1,0,1,1,1,0,1,2,1,0,0,0,0,"[ 1,4,5,6 ]",175,20174,211,20210,0,7,4,61,899.4976,4.96,61,907.9276,52.52997,0,0,9.14069199146612,8.42999999999995,1,"HBNW"
"354499",13,0,55836,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",95,20094,542,20541,0,9,3,21,293.7024,8.72,22,314.8824,406.3,0,0,4.74700802088665,21.18,1,"HBNW"
"2490275",6,0,298566,3,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",435,20434,286,20285,0,1,1,19,264.0053,2.73,19,270.26532,421.22998,0,0,9.70153640697489,6.26002,1,"HBW"
"926558",10,0,121917,2,3,2,0,7,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",68,20067,499,20498,61,0,4,60,892.5411,11.9,61,915.8611,520.49,0,0,12.6698000238038,23.3199999999999,1,"HBNW"
"404046",7,0,63008,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",118,20117,209,20208,0,1,1,16,232.43051,2.22,16,237.1105,752.81,0,0,6.50350091493605,4.67999,1,"HBW"
"9666454",1,0,1070018,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2913,22912,2913,22912,0,8,1,10,136.8625,0.58,10,138.4425,537.82007,0,0,5.35574081946124,1.57999999999998,1,"HBNW"
"5523292",17,0,603870,2,2,3,0,10,5,5,0,0,0,2,0,0,0,0,"[ 2 ]",1341,21340,1499,21498,8,0,1,86,1276.0775,7.98,87,1287.7075,140.92993,0,0,8.15579439765873,11.6299999999999,1,"HBNW"
"9560812",21,1,1058423,2,3,6,0,13,1,1,0,1,2,1,0,0,0,0,"[ 1,2,3 ]",2892,22891,2870,22869,0,6,4,55,812.7752,4.15,55,820.80524,68.609924,0,0,15.7510850182473,8.03003999999999,1,"HBNW"
"950026",13,0,124117,2,3,2,0,9,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",504,20503,504,20503,73,0,1,84,1252.4717,1.33,84,1255.5416,174.6001,0,0,20.525423684313,3.06989999999996,1,"HBNW"
"7118444",1,0,770159,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",1993,21992,2188,22187,0,2,1,32,470.54306,4,33,479.43307,156.10999,0,0,1.45751070687193,8.89000999999996,1,"HBNW"
"8735376",7,1,961331,2,3,1,0,1,1,1,0,0,0,1,1,0,1,0,"[ 2,3 ]",2449,22448,2426,22425,0,411,2,18,248.38597,2.79,18,253.84598,2.119995,0,0,12.5991654361429,5.46001000000001,1,"HBNW"
"2243313",3,0,269400,1,2,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",266,20265,317,20316,61,5,1,60,891.4978,2.88,60,898.4078,3.8500366,0,0,14.9362479156458,6.90999999999997,0,"NHB"
"9985253",3,0,1105457,2,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",3018,23017,2721,22720,0,5,1,64,945.9167,16.43,66,970.9667,57.070007,0,0,2.96704583413905,25.05,1,"HBNW"
"3072148",1,0,357668,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2112,22111,2117,22116,0,61,1,31,452.72144,2.87,31,461.98145,93.599976,0,0,8.26237907355745,9.26001000000002,1,"HBNW"
"2345214",5,0,281912,2,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",275,20274,1,20000,0,15,1,14,200.10692,6.94,14,212.90692,1.0800018,0,0,30.7603434827294,12.8,1,"HBW"
"6437874",5,3,695305,1,3,2,0,5,2,2,0,1,1,2,0,0,0,0,"[ 1,4,3 ]",1839,21838,1796,21795,9,0,3,62,917.6035,8.35,63,934.0135,490.30005,0,0,12.2592328039053,16.41,1,"HBNW"
"130468",5,0,19073,1,3,2,0,5,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",510,20509,124,20123,9,8,3,76,1119.3862,12.78,77,1136.0962,13.850098,0,0,3.96508043810351,16.71,0,"NHB"
"3862871",4,0,434005,2,1,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",1081,21080,1098,21097,1,0,4,64,959.70667,7.8,65,981.8567,455.34998,0,0,8.52190331623804,22.15003,1,"HBW"
"4081976",14,1,456927,3,3,1,0,2,2,2,0,0,0,2,0,1,2,0,"[ 1,3 ]",1120,21119,1154,21153,2,42,4,54,800.03076,3.36,55,807.00073,4.750061,0,0,16.4341398013265,6.96996999999999,0,"NHB"
"8614733",2,0,947663,1,1,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 1 ]",2725,22724,2812,22811,5,1,1,24,354.8972,1.09,24,357.97717,654.89,0,0,9.23533581818935,3.07997,0,"NHB"
"1582021",11,7,195939,1,3,3,0,11,7,7,0,0,0,2,0,1,1,0,"[ 1,3 ]",620,20619,623,20622,8,0,2,54,803.3332,0.75,54,805.4232,5.6900024,0,0,2.68796940426245,2.08999999999992,1,"HBNW"
"7211223",8,4,780196,1,3,2,0,8,4,4,0,1,2,2,0,0,0,0,"[ 2,1 ]",2010,22009,2014,22013,5,0,4,81,1202.9431,0.88,81,1205.5531,219.16003,0,0,18.2079011228065,2.61000000000013,1,"HBNW"
"10229996",2,0,1133284,1,2,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 1 ]",3184,23183,3182,23181,412,1,1,20,297.30038,6.13,21,305.63037,563.38,0,0,44.5197626889391,8.32999000000001,0,"NHB"
"9873360",7,0,1091186,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",2962,22961,2468,22467,0,8,7,47,696.2642,17.23,49,781.0042,55.27997,2962,22961,3.71230191270621,84.74,1,"HBNW"
"4835397",9,4,538833,1,3,2,0,9,4,4,0,0,0,2,0,1,1,0,"[ 1,3 ]",1344,21343,1344,21343,42,0,2,61,893.4349,1.45,61,897.0749,526.00995,0,0,32.8496576183779,3.63999999999999,1,"HBNW"
"7477611",1,0,807956,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2254,22253,3256,3256,0,1,1,31,450.45355,11.7,32,472.75354,585.19,0,0,6.3420802812702,22.29999,1,"HBW"
"739296",12,0,104894,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",459,20458,125,20124,0,9,1,22,308.98203,12.2,23,329.502,126.899994,0,0,6.77180990705075,20.51997,1,"HBNW"
"842362",10,0,114494,2,3,1,0,6,6,6,0,0,0,2,0,0,0,0,"[ 2 ]",489,20488,748,20747,5,62,2,63,950.41254,1.45,64,954.35254,3.960022,0,0,11.0310946439869,3.93999999999994,0,"NHB"
"2186888",15,0,262211,2,3,2,0,7,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",240,20239,240,20239,0,8,14,60,877.5212,0.5,60,887.5212,103.97998,0,0,8.21884272690052,10,1,"HBNW"
"1326686",8,0,167365,1,3,1,0,8,8,8,0,0,0,2,0,0,0,0,"[ 1 ]",553,20552,512,20511,5,0,3,55,817.148,6.65,56,832.468,592.99,0,0,22.7978912599876,15.3199999999999,1,"HBNW"
"8111801",19,0,889311,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",2544,22543,2796,22795,0,42,3,43,622.8087,8,44,637.07874,72.38995,0,0,11.2639463869248,14.27004,1,"HBNW"
"7991998",7,0,874794,3,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",2928,22927,2779,22778,5,0,1,33,501.80518,5.05,34,509.13516,927.78,0,0,6.80442590894503,7.32997999999998,1,"HBNW"
"9631654",20,0,1066471,5,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 5 ]",2929,22928,2909,22908,42,0,2,46,684.0945,3.97,46,693.51447,740.53,0,0,18.1488719687274,9.41996999999992,1,"HBNW"
"2532499",8,0,303866,3,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",320,20319,4,20003,0,61,1,56,822.64417,7.71,57,837.6742,126.22998,0,0,1.72161863116461,15.03003,1,"HBNW"
"9191232",2,0,1015745,1,2,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 1 ]",2831,22830,2615,22614,412,61,1,20,286.7736,6.42,21,297.6636,6.9499817,0,0,12.0258235930725,10.89,0,"NHB"
"1393290",9,0,175232,3,3,2,0,5,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",457,20456,536,20535,9,0,1,70,1031.6271,3.67,70,1039.2571,384.71997,0,0,8.41256655211757,7.63000000000011,1,"HBNW"
"8915924",21,0,982882,3,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 3 ]",2794,22793,2826,22825,8,61,3,63,928.67584,6.63,64,939.01587,7.919983,0,0,7.46731644160517,10.34003,0,"NHB"
